CTCQS3CKSKHole pair | Strategy
C2HK | [0.  0.3 0.1 0.6]
C2HA | [0.17495196 0.25074944 0.33645304 0.23784556]
C2S2 | [0.12423021 0.34176707 0.33652479 0.19747794]
C2S3 | [0.25 0.25 0.25 0.25]
C2S4 | [0.02118726 0.         0.         0.97881274]
C2S5 | [0.01120063 0.         0.         0.98879937]
C2S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C2S7 | [0.14080561 0.06615363 0.06692319 0.72611758]
C2S8 | [0.20170243 0.09514669 0.11285866 0.59029222]
C2S9 | [0.30135355 0.25005402 0.12930451 0.31928792]
C2ST | [0.02823872 0.29132036 0.03093415 0.64950677]
C2SJ | [0.18594017 0.40801776 0.19565021 0.21039187]
C2SQ | [0.07187842 0.28093896 0.13044902 0.51673359]
C2SK | [0.25 0.25 0.25 0.25]
C2SA | [0.17495196 0.25074944 0.33645304 0.23784556]
C3C4 | [0.  0.5 0.1 0.4]
C3C5 | [0.  0.5 0.1 0.4]
C3C6 | [0.  0.5 0.1 0.4]
C3C7 | [0.  0.5 0.1 0.4]
C3C8 | [0.         0.45283928 0.2        0.34716072]
C3C9 | [0.         0.55618427 0.2        0.24381573]
C3CT | [0.25 0.25 0.25 0.25]
C3CJ | [0.         0.54858078 0.21041095 0.24100827]
C3CQ | [0.25 0.25 0.25 0.25]
C3CK | [0.25 0.25 0.25 0.25]
C3CA | [0.         0.55630129 0.2055453  0.23815342]
C3D2 | [0.25666954 0.22451485 0.29547731 0.22333831]
C3D3 | [0.         0.7        0.05645071 0.24354929]
C3D4 | [0.25538163 0.22669316 0.29460014 0.22332508]
C3D5 | [0.25542025 0.22665303 0.29460168 0.22332504]
C3D6 | [0.25550183 0.22678097 0.2947909  0.2229263 ]
C3D7 | [0.25612292 0.22743568 0.29424101 0.22220039]
C3D8 | [0.255865   0.2278399  0.29296251 0.22333259]
C3D9 | [0.12291014 0.29862001 0.33616508 0.24230476]
C3DT | [0.03579727 0.28104128 0.22747726 0.45568419]
C3DJ | [0.11681959 0.31789662 0.33034003 0.23494376]
C3DQ | [0.04506524 0.21995781 0.06146912 0.67350783]
C3DK | [0.         0.55440774 0.21075694 0.23483532]
C3DA | [0.08351516 0.36643091 0.32352951 0.22652442]
C3H2 | [0.25666954 0.22451485 0.29547731 0.22333831]
C3H3 | [0.         0.7        0.05645071 0.24354929]
C3H4 | [0.25538163 0.22669316 0.29460014 0.22332508]
C3H5 | [0.25542025 0.22665303 0.29460168 0.22332504]
C3H6 | [0.25550183 0.22678097 0.2947909  0.2229263 ]
C3H7 | [0.25612292 0.22743568 0.29424101 0.22220039]
C3H8 | [0.255865   0.2278399  0.29296251 0.22333259]
C3H9 | [0.12291014 0.29862001 0.33616508 0.24230476]
C3HT | [0.03579727 0.28104128 0.22747726 0.45568419]
C3HJ | [0.11681959 0.31789662 0.33034003 0.23494376]
C3HQ | [0.04506524 0.21995781 0.06146912 0.67350783]
C3HK | [0.         0.55440774 0.21075694 0.23483532]
C3HA | [0.08351516 0.36643091 0.32352951 0.22652442]
C3S2 | [0.25666954 0.22451485 0.29547731 0.22333831]
C3S3 | [0.25 0.25 0.25 0.25]
C3S4 | [0.25538163 0.22669316 0.29460014 0.22332508]
C3S5 | [0.25542025 0.22665303 0.29460168 0.22332504]
C3S6 | [0.25550183 0.22678097 0.2947909  0.2229263 ]
C3S7 | [0.25612292 0.22743568 0.29424101 0.22220039]
C3S8 | [0.255865   0.2278399  0.29296251 0.22333259]
C3S9 | [0.12291014 0.29862001 0.33616508 0.24230476]
C3ST | [0.03579727 0.28104128 0.22747726 0.45568419]
C3SJ | [0.11681959 0.31789662 0.33034003 0.23494376]
C3SQ | [0.04506524 0.21995781 0.06146912 0.67350783]
C3SK | [0.25 0.25 0.25 0.25]
C3SA | [0.08351516 0.36643091 0.32352951 0.22652442]
C4C5 | [0.  0.5 0.1 0.4]
C4C6 | [0.  0.5 0.1 0.4]
C4C7 | [0.  0.5 0.1 0.4]
C4C8 | [0.         0.45242337 0.2        0.34757663]
C4C9 | [0.         0.45580222 0.2        0.34419778]
C4CT | [0.25 0.25 0.25 0.25]
C4CJ | [0.        0.4587463 0.2       0.3412537]
C4CQ | [0.25 0.25 0.25 0.25]
C4CK | [0.25 0.25 0.25 0.25]
C4CA | [0.         0.44097619 0.22068558 0.33833823]
C4D2 | [0.02118726 0.         0.         0.97881274]
C4D3 | [0.12177947 0.3000252  0.33337277 0.24482256]
C4D4 | [0.08803271 0.33456056 0.32336904 0.25403769]
C4D5 | [0.01120063 0.         0.         0.98879937]
C4D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C4D7 | [0.14080453 0.06615609 0.06692196 0.72611743]
C4D8 | [0.20173929 0.09630091 0.11246927 0.58949052]
C4D9 | [0.30196385 0.25114488 0.12946342 0.31742785]
C4DT | [0.02824854 0.29140031 0.03087618 0.64947497]
C4DJ | [0.18665092 0.40740601 0.19555091 0.21039216]
C4DQ | [0.07025102 0.27870825 0.1284548  0.52258593]
C4DK | [0.  0.3 0.1 0.6]
C4DA | [0.17670163 0.24897476 0.33647579 0.23784782]
C4H2 | [0.02118726 0.         0.         0.97881274]
C4H3 | [0.12177947 0.3000252  0.33337277 0.24482256]
C4H4 | [0.08803271 0.33456056 0.32336904 0.25403769]
C4H5 | [0.01120063 0.         0.         0.98879937]
C4H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C4H7 | [0.14080453 0.06615609 0.06692196 0.72611743]
C4H8 | [0.20173929 0.09630091 0.11246927 0.58949052]
C4H9 | [0.30196385 0.25114488 0.12946342 0.31742785]
C4HT | [0.02824854 0.29140031 0.03087618 0.64947497]
C4HJ | [0.18665092 0.40740601 0.19555091 0.21039216]
C4HQ | [0.07025102 0.27870825 0.1284548  0.52258593]
C4HK | [0.  0.3 0.1 0.6]
C4HA | [0.17670163 0.24897476 0.33647579 0.23784782]
C4S2 | [0.02118726 0.         0.         0.97881274]
C4S3 | [0.25 0.25 0.25 0.25]
C4S4 | [0.08803271 0.33456056 0.32336904 0.25403769]
C4S5 | [0.01120063 0.         0.         0.98879937]
C4S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C4S7 | [0.14080453 0.06615609 0.06692196 0.72611743]
C4S8 | [0.20173929 0.09630091 0.11246927 0.58949052]
C4S9 | [0.30196385 0.25114488 0.12946342 0.31742785]
C4ST | [0.02824854 0.29140031 0.03087618 0.64947497]
C4SJ | [0.18665092 0.40740601 0.19555091 0.21039216]
C4SQ | [0.07025102 0.27870825 0.1284548  0.52258593]
C4SK | [0.25 0.25 0.25 0.25]
C4SA | [0.17670163 0.24897476 0.33647579 0.23784782]
C5C6 | [0.  0.5 0.1 0.4]
C5C7 | [0.  0.5 0.1 0.4]
C5C8 | [0.         0.45242361 0.2        0.34757639]
C5C9 | [0.         0.45580247 0.2        0.34419753]
C5CT | [0.25 0.25 0.25 0.25]
C5CJ | [0.        0.4587465 0.2       0.3412535]
C5CQ | [0.25 0.25 0.25 0.25]
C5CK | [0.25 0.25 0.25 0.25]
C5CA | [0.         0.44097622 0.22068577 0.33833802]
C5D2 | [0.01148526 0.         0.         0.98851474]
C5D3 | [0.12180721 0.29999553 0.33337439 0.24482287]
C5D4 | [0.01148526 0.         0.         0.98851474]
C5D5 | [0.07966754 0.34830984 0.32141219 0.25061043]
C5D6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C5D7 | [0.14080472 0.06615565 0.06692217 0.72611746]
C5D8 | [0.20173313 0.09631037 0.11246952 0.58948698]
C5D9 | [0.30196925 0.25114054 0.12946661 0.3174236 ]
C5DT | [0.02824872 0.29143846 0.03083843 0.64947438]
C5DJ | [0.18666014 0.40738993 0.19555254 0.21039739]
C5DQ | [0.07022759 0.27870813 0.12845541 0.52260887]
C5DK | [0.  0.3 0.1 0.6]
C5DA | [0.17671472 0.24895403 0.33647764 0.23785362]
C5H2 | [0.01148526 0.         0.         0.98851474]
C5H3 | [0.12180721 0.29999553 0.33337439 0.24482287]
C5H4 | [0.01148526 0.         0.         0.98851474]
C5H5 | [0.07966754 0.34830984 0.32141219 0.25061043]
C5H6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C5H7 | [0.14080472 0.06615565 0.06692217 0.72611746]
C5H8 | [0.20173313 0.09631037 0.11246952 0.58948698]
C5H9 | [0.30196925 0.25114054 0.12946661 0.3174236 ]
C5HT | [0.02824872 0.29143846 0.03083843 0.64947438]
C5HJ | [0.18666014 0.40738993 0.19555254 0.21039739]
C5HQ | [0.07022759 0.27870813 0.12845541 0.52260887]
C5HK | [0.  0.3 0.1 0.6]
C5HA | [0.17671472 0.24895403 0.33647764 0.23785362]
C5S2 | [0.01148526 0.         0.         0.98851474]
C5S3 | [0.25 0.25 0.25 0.25]
C5S4 | [0.01148526 0.         0.         0.98851474]
C5S5 | [0.07966754 0.34830984 0.32141219 0.25061043]
C5S6 | [0.07028986 0.03333333 0.03333333 0.86304348]
C5S7 | [0.14080472 0.06615565 0.06692217 0.72611746]
C5S8 | [0.20173313 0.09631037 0.11246952 0.58948698]
C5S9 | [0.30196925 0.25114054 0.12946661 0.3174236 ]
C5ST | [0.02824872 0.29143846 0.03083843 0.64947438]
C5SJ | [0.18666014 0.40738993 0.19555254 0.21039739]
C5SQ | [0.07022759 0.27870813 0.12845541 0.52260887]
C5SK | [0.25 0.25 0.25 0.25]
C5SA | [0.17671472 0.24895403 0.33647764 0.23785362]
C6C7 | [0.  0.5 0.1 0.4]
C6C8 | [0.         0.45242427 0.2        0.34757573]
C6C9 | [0.         0.45580319 0.2        0.34419681]
C6CT | [0.25 0.25 0.25 0.25]
C6CJ | [0.         0.45874706 0.2        0.34125294]
C6CQ | [0.25 0.25 0.25 0.25]
C6CK | [0.25 0.25 0.25 0.25]
C6CA | [0.         0.54097687 0.22068569 0.23833744]
C6D2 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6D3 | [0.12187785 0.29985098 0.33339257 0.24487859]
C6D4 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6D5 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6D6 | [0.06587092 0.37762731 0.31851536 0.2379864 ]
C6D7 | [0.14080526 0.06615443 0.06692279 0.72611753]
C6D8 | [0.20171625 0.09633725 0.11247031 0.58947619]
C6D9 | [0.30173934 0.25152864 0.12934084 0.31739118]
C6DT | [0.02824588 0.29159183 0.03067888 0.64948341]
C6DJ | [0.18694703 0.40685058 0.19579782 0.21040457]
C6DQ | [0.06961943 0.27971543 0.12707598 0.52358916]
C6DK | [0.  0.3 0.1 0.6]
C6DA | [0.17696086 0.24894056 0.3363146  0.23778398]
C6H2 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6H3 | [0.12187785 0.29985098 0.33339257 0.24487859]
C6H4 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6H5 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6H6 | [0.06587092 0.37762731 0.31851536 0.2379864 ]
C6H7 | [0.14080526 0.06615443 0.06692279 0.72611753]
C6H8 | [0.20171625 0.09633725 0.11247031 0.58947619]
C6H9 | [0.30173934 0.25152864 0.12934084 0.31739118]
C6HT | [0.02824588 0.29159183 0.03067888 0.64948341]
C6HJ | [0.18694703 0.40685058 0.19579782 0.21040457]
C6HQ | [0.06961943 0.27971543 0.12707598 0.52358916]
C6HK | [0.  0.3 0.1 0.6]
C6HA | [0.17696086 0.24894056 0.3363146  0.23778398]
C6S2 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6S3 | [0.25 0.25 0.25 0.25]
C6S4 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6S5 | [0.07028986 0.03333333 0.03333333 0.86304348]
C6S6 | [0.06587092 0.37762731 0.31851536 0.2379864 ]
C6S7 | [0.14080526 0.06615443 0.06692279 0.72611753]
C6S8 | [0.20171625 0.09633725 0.11247031 0.58947619]
C6S9 | [0.30173934 0.25152864 0.12934084 0.31739118]
C6ST | [0.02824588 0.29159183 0.03067888 0.64948341]
C6SJ | [0.18694703 0.40685058 0.19579782 0.21040457]
C6SQ | [0.06961943 0.27971543 0.12707598 0.52358916]
C6SK | [0.25 0.25 0.25 0.25]
C6SA | [0.17696086 0.24894056 0.3363146  0.23778398]
C7C8 | [0.         0.45649789 0.2        0.34350211]
C7C9 | [0.         0.46105576 0.2        0.33894424]
C7CT | [0.25 0.25 0.25 0.25]
C7CJ | [0.         0.46340464 0.2        0.33659536]
C7CQ | [0.25 0.25 0.25 0.25]
C7CK | [0.25 0.25 0.25 0.25]
C7CA | [0.         0.55217553 0.21507248 0.232752  ]
C7D2 | [0.14080599 0.06615275 0.06692362 0.72611763]
C7D3 | [0.12188763 0.3000724  0.33379636 0.24424361]
C7D4 | [0.14080485 0.06615534 0.06692233 0.72611748]
C7D5 | [0.14080498 0.06615506 0.06692247 0.72611749]
C7D6 | [0.14080525 0.06615445 0.06692277 0.72611753]
C7D7 | [0.06778353 0.38692905 0.28076988 0.26451754]
C7D8 | [0.20245758 0.09602001 0.11220709 0.58931532]
C7D9 | [0.30176565 0.25142258 0.12941754 0.31739423]
C7DT | [0.02817529 0.29189352 0.0313731  0.64855808]
C7DJ | [0.18713975 0.40682951 0.19542995 0.21060079]
C7DQ | [0.07048584 0.29151223 0.12586681 0.51213512]
C7DK | [0.  0.3 0.1 0.6]
C7DA | [0.17700538 0.24890317 0.33622904 0.23786241]
C7H2 | [0.14080599 0.06615275 0.06692362 0.72611763]
C7H3 | [0.12188763 0.3000724  0.33379636 0.24424361]
C7H4 | [0.14080485 0.06615534 0.06692233 0.72611748]
C7H5 | [0.14080498 0.06615506 0.06692247 0.72611749]
C7H6 | [0.14080525 0.06615445 0.06692277 0.72611753]
C7H7 | [0.06778353 0.38692905 0.28076988 0.26451754]
C7H8 | [0.20245758 0.09602001 0.11220709 0.58931532]
C7H9 | [0.30176565 0.25142258 0.12941754 0.31739423]
C7HT | [0.02817529 0.29189352 0.0313731  0.64855808]
C7HJ | [0.18713975 0.40682951 0.19542995 0.21060079]
C7HQ | [0.07048584 0.29151223 0.12586681 0.51213512]
C7HK | [0.  0.3 0.1 0.6]
C7HA | [0.17700538 0.24890317 0.33622904 0.23786241]
C7S2 | [0.14080599 0.06615275 0.06692362 0.72611763]
C7S3 | [0.25 0.25 0.25 0.25]
C7S4 | [0.14080485 0.06615534 0.06692233 0.72611748]
C7S5 | [0.14080498 0.06615506 0.06692247 0.72611749]
C7S6 | [0.14080525 0.06615445 0.06692277 0.72611753]
C7S7 | [0.06778353 0.38692905 0.28076988 0.26451754]
C7S8 | [0.20245758 0.09602001 0.11220709 0.58931532]
C7S9 | [0.30176565 0.25142258 0.12941754 0.31739423]
C7ST | [0.02817529 0.29189352 0.0313731  0.64855808]
C7SJ | [0.18713975 0.40682951 0.19542995 0.21060079]
C7SQ | [0.07048584 0.29151223 0.12586681 0.51213512]
C7SK | [0.25 0.25 0.25 0.25]
C7SA | [0.17700538 0.24890317 0.33622904 0.23786241]
C8C9 | [0.         0.45882406 0.2        0.34117594]
C8CT | [0.25 0.25 0.25 0.25]
C8CJ | [0.         0.46205598 0.2        0.33794402]
C8CQ | [0.25 0.25 0.25 0.25]
C8CK | [0.25 0.25 0.25 0.25]
C8CA | [0.         0.55072383 0.21581874 0.23345743]
C8D2 | [0.20266535 0.09283883 0.11278475 0.59171108]
C8D3 | [0.12262608 0.29933104 0.3344714  0.24357148]
C8D4 | [0.20270477 0.09403907 0.11237642 0.59087974]
C8D5 | [0.2027007  0.09404529 0.11237661 0.59087741]
C8D6 | [0.20269191 0.09405888 0.11237709 0.59087212]
C8D7 | [0.20311762 0.09347792 0.11279925 0.59060521]
C8D8 | [0.05649051 0.38575907 0.27873198 0.27901844]
C8D9 | [0.30194509 0.25148389 0.12918059 0.31739043]
C8DT | [0.02787067 0.29235332 0.02841907 0.65135694]
C8DJ | [0.1884976  0.40695109 0.19414226 0.21040906]
C8DQ | [0.0673167  0.29559772 0.12710333 0.50998225]
C8DK | [0.  0.3 0.1 0.6]
C8DA | [0.11861519 0.42543802 0.24926947 0.20667732]
C8H2 | [0.20266535 0.09283883 0.11278475 0.59171108]
C8H3 | [0.12262608 0.29933104 0.3344714  0.24357148]
C8H4 | [0.20270477 0.09403907 0.11237642 0.59087974]
C8H5 | [0.2027007  0.09404529 0.11237661 0.59087741]
C8H6 | [0.20269191 0.09405888 0.11237709 0.59087212]
C8H7 | [0.20311762 0.09347792 0.11279925 0.59060521]
C8H8 | [0.05649051 0.38575907 0.27873198 0.27901844]
C8H9 | [0.30194509 0.25148389 0.12918059 0.31739043]
C8HT | [0.02787067 0.29235332 0.02841907 0.65135694]
C8HJ | [0.1884976  0.40695109 0.19414226 0.21040906]
C8HQ | [0.0673167  0.29559772 0.12710333 0.50998225]
C8HK | [0.  0.3 0.1 0.6]
C8HA | [0.11861519 0.42543802 0.24926947 0.20667732]
C8S2 | [0.20266535 0.09283883 0.11278475 0.59171108]
C8S3 | [0.25 0.25 0.25 0.25]
C8S4 | [0.20270477 0.09403907 0.11237642 0.59087974]
C8S5 | [0.2027007  0.09404529 0.11237661 0.59087741]
C8S6 | [0.20269191 0.09405888 0.11237709 0.59087212]
C8S7 | [0.20311762 0.09347792 0.11279925 0.59060521]
C8S8 | [0.05649051 0.38575907 0.27873198 0.27901844]
C8S9 | [0.30194509 0.25148389 0.12918059 0.31739043]
C8ST | [0.02787067 0.29235332 0.02841907 0.65135694]
C8SJ | [0.1884976  0.40695109 0.19414226 0.21040906]
C8SQ | [0.0673167  0.29559772 0.12710333 0.50998225]
C8SK | [0.25 0.25 0.25 0.25]
C8SA | [0.11861519 0.42543802 0.24926947 0.20667732]
C9CT | [0.25 0.25 0.25 0.25]
C9CJ | [0.         0.7        0.15579693 0.14420307]
C9CQ | [0.25 0.25 0.25 0.25]
C9CK | [0.25 0.25 0.25 0.25]
C9CA | [0.         0.56292614 0.21005138 0.22702248]
C9D2 | [0.30209728 0.24627005 0.12914702 0.32248565]
C9D3 | [0.12107241 0.3002481  0.33535308 0.24332641]
C9D4 | [0.30271779 0.24738345 0.12930626 0.32059251]
C9D5 | [0.30272541 0.24737385 0.12931067 0.32059006]
C9D6 | [0.30240217 0.24787881 0.12915028 0.32056874]
C9D7 | [0.30241921 0.24771377 0.12929179 0.32057523]
C9D8 | [0.30266605 0.24781112 0.12895629 0.32056654]
C9D9 | [0.05545594 0.37977809 0.28719274 0.27757323]
C9DT | [0.02862163 0.2862509  0.03588175 0.64924573]
C9DJ | [0.         0.45591977 0.2        0.34408023]
C9DQ | [0.07121442 0.29522656 0.12834713 0.50521188]
C9DK | [0.  0.3 0.1 0.6]
C9DA | [0.16309642 0.25242294 0.34718633 0.23729431]
C9H2 | [0.30209728 0.24627005 0.12914702 0.32248565]
C9H3 | [0.12107241 0.3002481  0.33535308 0.24332641]
C9H4 | [0.30271779 0.24738345 0.12930626 0.32059251]
C9H5 | [0.30272541 0.24737385 0.12931067 0.32059006]
C9H6 | [0.30240217 0.24787881 0.12915028 0.32056874]
C9H7 | [0.30241921 0.24771377 0.12929179 0.32057523]
C9H8 | [0.30266605 0.24781112 0.12895629 0.32056654]
C9H9 | [0.05545594 0.37977809 0.28719274 0.27757323]
C9HT | [0.02862163 0.2862509  0.03588175 0.64924573]
C9HJ | [0.         0.45591977 0.2        0.34408023]
C9HQ | [0.07121442 0.29522656 0.12834713 0.50521188]
C9HK | [0.  0.3 0.1 0.6]
C9HA | [0.16309642 0.25242294 0.34718633 0.23729431]
C9S2 | [0.30209728 0.24627005 0.12914702 0.32248565]
C9S3 | [0.25 0.25 0.25 0.25]
C9S4 | [0.30271779 0.24738345 0.12930626 0.32059251]
C9S5 | [0.30272541 0.24737385 0.12931067 0.32059006]
C9S6 | [0.30240217 0.24787881 0.12915028 0.32056874]
C9S7 | [0.30241921 0.24771377 0.12929179 0.32057523]
C9S8 | [0.30266605 0.24781112 0.12895629 0.32056654]
C9S9 | [0.05545594 0.37977809 0.28719274 0.27757323]
C9ST | [0.02862163 0.2862509  0.03588175 0.64924573]
C9SJ | [0.         0.45591977 0.2        0.34408023]
C9SQ | [0.07121442 0.29522656 0.12834713 0.50521188]
C9SK | [0.25 0.25 0.25 0.25]
C9SA | [0.16309642 0.25242294 0.34718633 0.23729431]
CTCJ | [0.25 0.25 0.25 0.25]
CTCQ | [0.25 0.25 0.25 0.25]
CTCK | [0.25 0.25 0.25 0.25]
CTCA | [0.25 0.25 0.25 0.25]
CTD2 | [0.25 0.25 0.25 0.25]
CTD3 | [0.25 0.25 0.25 0.25]
CTD4 | [0.25 0.25 0.25 0.25]
CTD5 | [0.25 0.25 0.25 0.25]
CTD6 | [0.25 0.25 0.25 0.25]
CTD7 | [0.25 0.25 0.25 0.25]
CTD8 | [0.25 0.25 0.25 0.25]
CTD9 | [0.25 0.25 0.25 0.25]
CTDT | [0.25 0.25 0.25 0.25]
CTDJ | [0.25 0.25 0.25 0.25]
CTDQ | [0.25 0.25 0.25 0.25]
CTDK | [0.25 0.25 0.25 0.25]
CTDA | [0.25 0.25 0.25 0.25]
CTH2 | [0.25 0.25 0.25 0.25]
CTH3 | [0.25 0.25 0.25 0.25]
CTH4 | [0.25 0.25 0.25 0.25]
CTH5 | [0.25 0.25 0.25 0.25]
CTH6 | [0.25 0.25 0.25 0.25]
CTH7 | [0.25 0.25 0.25 0.25]
CTH8 | [0.25 0.25 0.25 0.25]
CTH9 | [0.25 0.25 0.25 0.25]
CTHT | [0.25 0.25 0.25 0.25]
CTHJ | [0.25 0.25 0.25 0.25]
CTHQ | [0.25 0.25 0.25 0.25]
CTHK | [0.25 0.25 0.25 0.25]
CTHA | [0.25 0.25 0.25 0.25]
CTS2 | [0.25 0.25 0.25 0.25]
CTS3 | [0.25 0.25 0.25 0.25]
CTS4 | [0.25 0.25 0.25 0.25]
CTS5 | [0.25 0.25 0.25 0.25]
CTS6 | [0.25 0.25 0.25 0.25]
CTS7 | [0.25 0.25 0.25 0.25]
CTS8 | [0.25 0.25 0.25 0.25]
CTS9 | [0.25 0.25 0.25 0.25]
CTST | [0.25 0.25 0.25 0.25]
CTSJ | [0.25 0.25 0.25 0.25]
CTSQ | [0.25 0.25 0.25 0.25]
CTSK | [0.25 0.25 0.25 0.25]
CTSA | [0.25 0.25 0.25 0.25]
CJCQ | [0.25 0.25 0.25 0.25]
CJCK | [0.25 0.25 0.25 0.25]
CJCA | [0.         0.7        0.15674006 0.14325994]
CJD2 | [0.18662336 0.40872802 0.19388633 0.2107623 ]
CJD3 | [0.11522883 0.31953793 0.32988492 0.23534833]
CJD4 | [0.18730526 0.40808612 0.19384528 0.21076333]
CJD5 | [0.18731803 0.40806285 0.19384849 0.21077063]
CJD6 | [0.18769132 0.40737406 0.19415371 0.21078091]
CJD7 | [0.18788547 0.40727415 0.19397692 0.21086347]
CJD8 | [0.18968517 0.40748985 0.19211343 0.21071156]
CJD9 | [0.         0.45528292 0.2        0.34471708]
CJDT | [0.02515624 0.24891435 0.06125214 0.66467728]
CJDJ | [0.04538888 0.21980587 0.06304031 0.67176494]
CJDQ | [0.04382201 0.26874315 0.1578812  0.52955364]
CJDK | [0.  0.5 0.1 0.4]
CJDA | [0.         0.45966178 0.2        0.34033822]
CJH2 | [0.18662336 0.40872802 0.19388633 0.2107623 ]
CJH3 | [0.11522883 0.31953793 0.32988492 0.23534833]
CJH4 | [0.18730526 0.40808612 0.19384528 0.21076333]
CJH5 | [0.18731803 0.40806285 0.19384849 0.21077063]
CJH6 | [0.18769132 0.40737406 0.19415371 0.21078091]
CJH7 | [0.18788547 0.40727415 0.19397692 0.21086347]
CJH8 | [0.18968517 0.40748985 0.19211343 0.21071156]
CJH9 | [0.         0.45528292 0.2        0.34471708]
CJHT | [0.02515624 0.24891435 0.06125214 0.66467728]
CJHJ | [0.04538888 0.21980587 0.06304031 0.67176494]
CJHQ | [0.04382201 0.26874315 0.1578812  0.52955364]
CJHK | [0.  0.5 0.1 0.4]
CJHA | [0.         0.45966178 0.2        0.34033822]
CJS2 | [0.18662336 0.40872802 0.19388633 0.2107623 ]
CJS3 | [0.25 0.25 0.25 0.25]
CJS4 | [0.18730526 0.40808612 0.19384528 0.21076333]
CJS5 | [0.18731803 0.40806285 0.19384849 0.21077063]
CJS6 | [0.18769132 0.40737406 0.19415371 0.21078091]
CJS7 | [0.18788547 0.40727415 0.19397692 0.21086347]
CJS8 | [0.18968517 0.40748985 0.19211343 0.21071156]
CJS9 | [0.         0.45528292 0.2        0.34471708]
CJST | [0.02515624 0.24891435 0.06125214 0.66467728]
CJSJ | [0.04538888 0.21980587 0.06304031 0.67176494]
CJSQ | [0.04382201 0.26874315 0.1578812  0.52955364]
CJSK | [0.25 0.25 0.25 0.25]
CJSA | [0.         0.45966178 0.2        0.34033822]
CQCK | [0.25 0.25 0.25 0.25]
CQCA | [0.25 0.25 0.25 0.25]
CQD2 | [0.25 0.25 0.25 0.25]
CQD3 | [0.25 0.25 0.25 0.25]
CQD4 | [0.25 0.25 0.25 0.25]
CQD5 | [0.25 0.25 0.25 0.25]
CQD6 | [0.25 0.25 0.25 0.25]
CQD7 | [0.25 0.25 0.25 0.25]
CQD8 | [0.25 0.25 0.25 0.25]
CQD9 | [0.25 0.25 0.25 0.25]
CQDT | [0.25 0.25 0.25 0.25]
CQDJ | [0.25 0.25 0.25 0.25]
CQDQ | [0.25 0.25 0.25 0.25]
CQDK | [0.25 0.25 0.25 0.25]
CQDA | [0.25 0.25 0.25 0.25]
CQH2 | [0.25 0.25 0.25 0.25]
CQH3 | [0.25 0.25 0.25 0.25]
CQH4 | [0.25 0.25 0.25 0.25]
CQH5 | [0.25 0.25 0.25 0.25]
